gr.id,smp.id,Repetition,Year,State,Type,JDctr,det.id,distance,vis.id,size
183,365,1,2006,MO,CONTROL,0,1,401.63,2006_1,1
183,365,1,2006,MO,CONTROL,0,2,286.23,2006_1,1
183,365,1,2006,MO,CONTROL,0,3,327.86,2006_1,1
183,365,1,2006,MO,CONTROL,0,4,212.92,2006_1,1
183,365,1,2006,MO,CONTROL,0,5,297.41,2006_1,1
183,365,1,2007,MO,CONTROL,9,6,270,2007_1,1
183,365,1,2008,MO,CONTROL,-11,NA,NA,2008_1,NA
183,366,1,2006,MO,TREAT,0,7,186.04,2006_1,1
183,366,1,2006,MO,TREAT,0,8,124.5,2006_1,1
183,366,1,2006,MO,TREAT,0,9,105.46,2006_1,1
183,366,1,2006,MO,TREAT,0,10,141.56,2006_1,1
183,366,1,2007,MO,TREAT,9,11,447,2007_1,1
183,366,1,2008,MO,TREAT,-11,NA,NA,2008_1,NA
184,367,1,2006,MO,CONTROL,3,NA,NA,2006_1,NA
184,367,1,2007,MO,CONTROL,3,NA,NA,2007_1,NA
184,367,1,2008,MO,CONTROL,-14,NA,NA,2008_1,NA
184,368,1,2006,MO,TREAT,3,NA,NA,2006_1,NA
184,368,1,2007,MO,TREAT,3,NA,NA,2007_1,NA
184,368,1,2008,MO,TREAT,-14,NA,NA,2008_1,NA
185,369,1,2006,MO,CONTROL,-8,NA,NA,2006_1,NA
185,369,1,2007,MO,CONTROL,-18,12,447,2007_1,1
185,369,1,2007,MO,CONTROL,-18,13,438,2007_1,1
185,369,1,2007,MO,CONTROL,-18,14,222,2007_1,1
185,369,1,2007,MO,CONTROL,-18,15,205,2007_1,1
185,369,1,2008,MO,CONTROL,-8,16,239,2008_1,1
185,369,1,2008,MO,CONTROL,-8,17,181,2008_1,1
185,370,1,2006,MO,TREAT,-8,18,386.66,2006_1,1
185,370,1,2006,MO,TREAT,-8,19,336.05,2006_1,1
185,370,1,2006,MO,TREAT,-8,20,337.83,2006_1,1
185,370,1,2007,MO,TREAT,-18,21,220,2007_1,1
185,370,1,2007,MO,TREAT,-18,22,130,2007_1,1
185,370,1,2007,MO,TREAT,-18,23,93,2007_1,1
185,370,1,2007,MO,TREAT,-18,24,72,2007_1,1
185,370,1,2008,MO,TREAT,-8,NA,NA,2008_1,NA
186,371,1,2006,MO,CONTROL,-17,25,436.57,2006_1,1
186,371,1,2006,MO,CONTROL,-17,26,384.73,2006_1,1
186,371,1,2006,MO,CONTROL,-17,27,137.53,2006_1,1
186,371,1,2007,MO,CONTROL,-19,28,244,2007_1,1
186,371,1,2007,MO,CONTROL,-19,29,201,2007_1,1
186,371,1,2007,MO,CONTROL,-19,30,363,2007_1,1
186,371,1,2007,MO,CONTROL,-19,31,216,2007_1,1
186,371,1,2007,MO,CONTROL,-19,32,228,2007_1,1
186,371,1,2008,MO,CONTROL,-12,33,208,2008_1,1
186,372,1,2006,MO,TREAT,-17,34,334.41,2006_1,1
186,372,1,2007,MO,TREAT,-19,35,305,2007_1,1
186,372,1,2007,MO,TREAT,-19,36,217,2007_1,1
186,372,1,2008,MO,TREAT,-12,37,489,2008_1,1
186,372,1,2008,MO,TREAT,-12,38,423,2008_1,1
187,373,1,2006,MO,CONTROL,-23,39,467.77,2006_1,1
187,373,1,2006,MO,CONTROL,-23,40,484.41,2006_1,1
187,373,1,2007,MO,CONTROL,-11,41,452,2007_1,1
187,373,1,2007,MO,CONTROL,-11,NA,NA,2007_1,NA
187,373,1,2007,MO,CONTROL,-11,NA,NA,2007_1,NA
187,373,1,2008,MO,CONTROL,-6,42,304,2008_1,1
187,373,1,2008,MO,CONTROL,-6,43,362,2008_1,1
187,374,1,2006,MO,TREAT,-23,44,158.28,2006_1,1
187,374,1,2006,MO,TREAT,-23,45,99.85,2006_1,1
187,374,1,2006,MO,TREAT,-23,46,351.59,2006_1,1
187,374,1,2007,MO,TREAT,-11,47,249,2007_1,1
187,374,1,2007,MO,TREAT,-11,48,228,2007_1,1
187,374,1,2007,MO,TREAT,-11,49,243,2007_1,1
187,374,1,2007,MO,TREAT,-11,50,139,2007_1,1
187,374,1,2008,MO,TREAT,-6,51,117,2008_1,1
187,374,1,2008,MO,TREAT,-6,52,236,2008_1,1
188,375,1,2006,MO,CONTROL,-24,53,278.83,2006_1,1
188,375,1,2006,MO,CONTROL,-24,54,390.13,2006_1,1
188,375,1,2006,MO,CONTROL,-24,55,299.25,2006_1,1
188,375,1,2007,MO,CONTROL,-17,NA,NA,2007_1,NA
188,375,1,2008,MO,CONTROL,-5,NA,NA,2008_1,NA
188,376,1,2006,MO,TREAT,-24,56,238.9,2006_1,1
188,376,1,2006,MO,TREAT,-24,57,379.93,2006_1,1
188,376,1,2006,MO,TREAT,-24,58,164.09,2006_1,1
188,376,1,2006,MO,TREAT,-24,NA,NA,2006_1,NA
188,376,1,2006,MO,TREAT,-24,59,246.87,2006_1,1
188,376,1,2006,MO,TREAT,-24,60,365.14,2006_1,1
188,376,1,2007,MO,TREAT,-17,61,324,2007_1,1
188,376,1,2007,MO,TREAT,-17,62,464,2007_1,1
188,376,1,2008,MO,TREAT,-5,63,216,2008_1,1
188,376,1,2008,MO,TREAT,-5,64,275,2008_1,1
188,376,1,2008,MO,TREAT,-5,65,410,2008_1,1
189,377,1,2006,MO,CONTROL,2,66,150.79,2006_1,1
189,377,1,2006,MO,CONTROL,2,67,136.02,2006_1,1
189,377,1,2006,MO,CONTROL,2,68,222,2006_1,1
189,377,1,2006,MO,CONTROL,2,69,384.03,2006_1,1
189,377,1,2007,MO,CONTROL,-18,70,80,2007_1,1
189,377,1,2007,MO,CONTROL,-18,71,242,2007_1,1
